component_name,product_name,resolution_code,status_code,quantity_of_votes,quantity_of_comments,bug_fix_time,severity_code,assignee_name
wizard,product_89,1,4,0,2,33,2,benjamin.muskalla
wst,product_166,1,6,0,11,9,4,deboer
report,product_10,1,4,0,5,7,1,Birt-Data-inbox
ui,product_69,1,4,0,3,15,2,martinae
proposals and reviews,product_20,1,4,0,2,1,2,emo
hyades,product_173,1,6,0,6,5,6,scott.schneider
core,product_113,1,4,0,14,1,2,give.a.damus
ci,product_20,1,4,0,3,0,2,ci.admin-inbox
tptp,product_173,1,6,0,13,63,2,tfoun
debug,product_142,1,4,0,3,0,2,aleherb+eclipse
core,product_69,1,4,0,11,32,2,sxenos
core,product_170,1,6,0,6,260,2,tmf.xtext-inbox
tptp,product_173,1,6,0,5,88,2,asaf.yaffe
update,product_117,1,4,0,2,12,4,wassim.melhem
cosmos,product_173,1,6,0,4,5,2,sleeloy
ui,product_115,1,4,0,3,0,2,pde-ui-inbox
report,product_10,1,6,0,3,0,6,qwang
ci,product_20,1,4,0,25,1,6,webmaster
compiler,product_7,1,4,0,3,59,2,aspectj-inbox
wst,product_167,1,4,0,15,20,2,wtp.inc.xsl-inbox
project,product_78,1,6,0,2,220,2,linux.distros-inbox
cdt,product_17,1,4,0,14,2223,2,cdt-indexer-inbox
incubator,product_52,1,4,0,3,0,6,unknown1
ui,product_3,1,4,0,9,38,2,AJDT-inbox
ant,product_117,1,4,0,3,20,2,Darin_Swanson
report,product_10,1,4,0,4,20,2,yuejie.chen
imp,product_173,1,4,0,2,0,2,suttons
sysml,product_113,1,6,0,3,5,2,benoit.maggi
plugins,product_9,1,4,0,2,0,2,babel.server-inbox
ui,product_38,1,6,0,5,106,2,egit.ui-inbox
apt,product_69,1,4,0,2,69,2,jgarms
data,product_10,1,6,0,5,10,2,xma
ide,product_117,1,6,0,21,118,2,psuzzi
swt,product_117,1,4,1,3,11,2,cocoakevin
report,product_10,1,4,0,2,24,2,xiong.zhang
ui,product_38,1,4,0,4,3,2,jens.baumgart
ui,product_69,1,4,0,6,6,2,martinae
releng,product_117,1,4,0,15,1,2,sravankumarl
text,product_69,1,4,0,3,1,2,daniel_megert
ui,product_115,1,4,0,2,0,2,caniszczyk
wst,product_167,1,6,0,7,0,4,david_williams
cdt,product_17,1,4,0,6,423,2,achapiro
ui,product_117,1,4,0,5,207,2,psuzzi
core,product_144,1,6,0,4,1120,2,jistrawn
setup,product_108,1,4,0,12,37,2,stepper
general,product_72,1,4,1,26,203,2,jsdt.javascript-inbox
ui,product_117,1,4,0,5,12,2,simon_arsenault
scout,product_131,1,6,0,6,1012,4,andi.bur
text,product_117,1,4,0,4,539,2,platform-text-inbox
client,product_70,1,4,0,7,0,4,gregw
hyades,product_173,1,6,0,3,6,4,apnan
core,product_106,1,6,0,7,20,2,mdt-ocl-inbox
swt,product_117,1,4,0,6,149,2,snorthov
rwt,product_121,1,4,0,5,1,5,rap-inbox
wizard,product_89,1,4,0,7,1,2,mpc.wizard-inbox
ui,product_117,1,4,0,6,0,2,simon.scholz
p2,product_52,1,6,0,5,5,2,equinox.p2-inbox
general,product_61,1,4,0,3,2,2,Vikas.Chandra
ecf,product_29,1,4,0,2,0,2,ecf.core-inbox
setup,product_108,1,4,0,2,18,2,stepper
cdt,product_17,1,4,0,3,0,2,mschorn.eclipse
cdt,product_17,1,4,0,3,642,2,dschaefer
tptp,product_173,1,6,0,11,3,6,xubing
rse,product_141,1,4,0,6,0,4,dmcknigh
other,product_157,1,4,0,18,284,4,webtools.education-inbox
bugzilla,product_20,1,4,0,3,158,2,webmaster
cosmos,product_173,1,4,0,6,10,2,todjo06
text,product_69,1,4,0,3,406,2,christof_marti
text,product_69,1,4,0,6,420,2,jdt-text-inbox
tptp,product_173,1,6,0,4,7,2,apnan
ui,product_69,1,4,0,6,9,2,markus.kell.r
codegen,product_114,1,6,0,6,0,2,papyrusrt-inbox
bundles,product_109,1,4,0,2,0,2,steffen.pingel
ve,product_173,1,6,0,20,145,4,sgunturi
ci,product_20,1,6,0,2,525,4,ci.admin-inbox
buckminster,product_173,1,4,0,2,0,2,buckminster.core-inbox
other,product_144,1,4,0,3,4,4,rcraddoc
hyades,product_173,1,6,0,4,0,2,ewchan
chart,product_10,1,4,0,5,38,2,zqian
report,product_10,1,6,0,7,6,2,rlu
cdt,product_17,1,4,0,3,20,2,mschorn.eclipse
releng,product_117,1,4,0,9,50,2,kim.moir
releng,product_117,1,4,0,2,0,2,david_williams
swt,product_117,1,4,0,2,9,2,platform-swt-inbox
releng,product_165,1,4,0,3,0,2,david_williams
general,product_61,1,4,0,5,9,2,mmostafa
core,product_106,1,4,0,3,12,2,mdt-ocl-inbox
releng,product_55,1,4,0,2,132,2,ahunter.eclipse
runtime,product_154,1,6,0,11,103,2,dmarthaler
ve,product_173,1,6,0,3,142,2,walkerp
tptp,product_173,1,6,0,11,41,5,mmings
hyades,product_173,1,6,0,6,29,2,smith
general,product_61,1,4,0,10,33,4,give.a.damus
report,product_10,1,6,0,5,6,2,qwang
general,product_72,1,4,0,8,1,2,cmjaun
framework,product_52,1,6,0,21,126,5,tjwatson
wikitext,product_96,1,4,0,8,0,2,torkildr
user,product_117,1,4,0,3,0,2,platform-ua-inbox
ui,product_69,1,4,0,3,1,2,daniel_megert
ui,product_91,1,4,0,4,11,2,raphael.t.ackermann
moxy,product_31,1,4,0,3,14,2,matt.macivor
cdt,product_17,1,4,0,7,3,2,mschorn.eclipse
core,product_51,1,6,0,9,4,2,louis
releng,product_117,1,4,0,9,31,2,david_williams
we,product_other,1,4,0,3,7,4,christian.saad
incubator,product_52,1,4,0,2,0,2,pascal
swt,product_117,1,4,0,3,89,2,snorthov
text,product_69,1,4,0,7,857,2,jdt-text-inbox
swt,product_117,1,4,0,12,32,6,Silenio_Quarti
swt,product_117,1,4,0,22,65,5,veronika_irvine
report,product_10,1,6,0,3,0,2,cchen
core,product_113,1,6,0,10,14,2,mdt-papyrus-inbox
swt,product_117,1,4,0,8,182,4,eclipse.felipe
docker,product_78,1,4,0,5,125,2,jjohnstn
runtime,product_117,1,4,0,5,2366,1,karsten.thoms
ui,product_117,1,4,0,2,0,2,airvine
other,product_other,1,4,0,2,0,2,dirigible-inbox
ci,product_20,1,6,0,5,724,2,ci.admin-inbox
wst,product_168,1,6,0,4,18,2,pmoogk
chart,product_10,1,6,0,3,3,2,nli
tptp,product_173,1,6,0,5,6,2,xubing
eswt,product_53,1,4,0,2,8,2,ercp.eswt-inbox
framework,product_52,1,4,0,5,0,2,david_williams
emf forms,product_33,1,6,0,2,2,2,eneufeld
update,product_117,1,4,0,3,107,2,celek
swt,product_117,1,4,0,39,11,5,snorthov
cdt,product_17,1,4,0,2,15,2,aleherb+eclipse
package,product_50,1,4,0,3,5,2,epp.packager-inbox
rse,product_141,1,6,0,12,153,2,mober.at+eclipse
jst,product_164,1,4,0,4,3,2,shr31223
ui,product_117,1,6,0,5,1,5,Tod_Creasey
cdt,product_17,1,4,0,11,2012,2,simon.marchi
core,product_170,1,6,0,10,231,2,tmf.xtext-inbox
p2,product_52,1,4,0,10,8,2,matthew
team,product_117,1,4,0,4,2,2,jean-michel_lemieux
compiler,product_7,1,4,0,10,18,5,jim-aj
gef,product_55,1,4,0,8,32,4,mgobeil
connectivity,product_23,1,4,0,16,51,4,bfitzpat
website,product_20,1,4,0,2,72,2,phoenix.ui-inbox
wst,product_166,1,4,0,3,6,2,wst.server-inbox
core,product_62,1,4,0,7,2,2,shatalin
general,product_21,1,6,0,8,38,2,paul.fullbright
core,product_113,1,4,0,4,135,2,benoit.maggi
other,product_other,1,4,0,6,59,2,stephan.herrmann
chart,product_10,1,6,0,8,6,2,nli
cdt,product_17,1,4,0,3,0,2,eclipse.sprigogin
other,product_other,1,6,0,4,854,2,gemini.blueprint-inbox
jpa,product_21,1,4,0,5,71,2,pascal.filion
client,product_110,1,4,0,2,0,2,mamacdon
designer,product_113,1,4,0,10,101,2,shuai.li
runtime,product_117,1,4,0,7,5,2,platform-runtime-inbox
ui,product_117,1,4,0,6,177,2,nick_edgar
user,product_117,1,4,0,2,0,2,platform-ua-inbox
cdt,product_17,1,4,0,2,1,2,pawel.1.piech
core,product_113,1,4,0,3,176,2,yann.tanguy
tptp,product_173,1,6,0,14,7,4,mmings
cdt,product_17,1,4,0,8,536,4,zeratul976
releng,product_146,1,6,0,3,7,2,jan.koehnlein
changelog,product_78,1,4,0,2,0,2,jjohnstn
text,product_117,1,4,0,4,406,2,platform-text-inbox
corona,product_173,1,6,0,4,2,2,joel.hawkins
other,product_118,1,6,0,5,8,2,com-eclipse-org
core,product_128,1,6,0,4,76,2,sascha
core,product_170,1,6,0,7,76,2,tmf.xtext-inbox
cdt,product_17,1,4,0,5,1,2,aleherb+eclipse
chart,product_10,1,6,0,6,13,2,xzhu
report,product_10,1,4,0,8,31,2,zqian
ui,product_3,1,4,0,17,27,2,AJDT-inbox
ui,product_other,1,6,0,4,0,1,ease-inbox
ui,product_other,1,6,0,3,0,2,emfdiffmerge.ui-inbox
update,product_117,1,4,0,3,20,5,andrew.niefer
build,product_115,1,4,0,3,142,2,dj.houghton
jgit,product_71,1,4,0,8,1,6,jgit.core-inbox
other,product_144,1,6,0,2,6,2,tigerstripe.core-inbox
cdt,product_17,1,4,0,4,281,2,mschorn.eclipse
core,product_142,1,4,0,4,3,2,tcf.agent-inbox
cdo,product_39,1,6,0,3,0,2,stepper
ui,product_129,1,6,0,5,0,2,shenxue.zhou
cdt,product_17,1,4,0,33,460,2,marc.khouzam
build,product_70,1,4,0,2,0,2,jesse.mcconnell
text,product_69,1,4,0,7,2092,2,jdt-text-inbox
website,product_9,1,4,0,3,43,2,babel.server-inbox
wtp datatools,product_173,1,6,0,9,23,2,ledunnel
rwt,product_121,1,4,0,2,10,2,rap-inbox
ui,product_117,1,4,0,12,391,2,pwebster
core,product_other,1,6,0,4,55,2,ogee.core-inbox
jst,product_164,1,4,0,4,7,2,jsholl
jst,product_164,1,6,0,6,47,2,jst-inbox
jst,product_other,1,6,0,4,6,2,jst.ejb-inbox
data,product_10,1,6,0,3,1,2,xwu
text,product_69,1,4,0,3,0,1,jdt-text-inbox
cosmos,product_173,1,6,0,6,5,2,dlwhiteman
cdt,product_17,1,6,0,3,0,2,ted
general,product_61,1,4,0,4,0,2,crevells
p2,product_52,1,4,0,9,173,2,susan
core,product_133,1,6,0,3,0,2,maxime.porhel
releng,product_117,1,4,0,21,427,2,andre_weinand
tasks,product_91,1,4,0,5,180,2,steffen.pingel
cdatetime,product_104,1,4,0,31,71,2,glenn.burkhardt
bugzilla,product_20,1,4,0,2,68,2,webmaster
tptp,product_173,1,6,0,7,153,2,huangys
edt,product_173,1,6,0,3,26,2,mayunf
swt,product_117,1,4,2,24,414,2,eclipse.felipe
debug,product_117,1,4,0,2,0,1,Michael_Rennie
sdo,product_31,1,4,0,9,0,2,blaise.doughan
utils,product_31,1,4,0,2,1,2,les.davis
ui,product_115,1,4,0,2,0,2,caniszczyk
launcher,product_52,1,4,2,4,6,2,tjwatson
emf forms,product_33,1,6,0,3,0,2,jfaltermeier
doc,product_117,1,4,0,3,1,2,john.arthorne
hyades,product_173,1,6,0,6,21,2,apnan
ui,product_117,1,4,0,3,1,2,nick_edgar
p2,product_52,1,4,0,2,1,2,equinox.p2-inbox
p2 repository analyzers,product_16,1,4,0,7,342,2,david_williams
incubator,product_other,1,4,0,4,1,2,david_williams
common,product_25,1,4,0,2,3,2,dltk.common-inbox
client,product_110,1,4,0,2,147,2,orion.client-inbox
other,product_74,1,6,0,3,22,2,alexandra.schladebeck
report,product_10,1,6,0,3,0,6,Birt-ReportDesigner-inbox
rdt.sync,product_118,1,6,0,2,8,2,jeblen
server,product_70,1,4,0,2,2,2,gregw
user,product_117,1,4,0,5,32,2,platform-ua-inbox
other,product_118,1,4,0,9,475,2,g.watson
core,product_126,1,4,0,2,0,2,heiko.barth
swt,product_117,1,4,0,4,34,2,Silenio_Quarti
tptp,product_173,1,6,0,7,58,2,mmings
tooling,product_36,1,4,0,2,0,2,efxclipse-inbox
git,product_20,1,4,0,2,0,2,webmaster
runtime,product_36,1,4,0,3,46,2,efxclipse-inbox
sql,product_23,1,4,0,3,0,2,dtp.modelbase-inbox
core,product_113,1,6,0,7,611,2,vincent.lorenzo
report,product_10,1,6,0,4,5,2,ianl
mailinglists,product_20,1,4,0,2,0,2,webmaster
connector,product_other,1,4,0,4,60,2,lmcbout
releng,product_117,1,4,0,5,1,2,andre_weinand
ecf,product_29,1,4,0,3,0,4,ecf.core-inbox
js tools,product_110,1,4,0,4,239,2,curtis.windatt.public
releng,product_117,1,4,0,2,13,2,Brian_Young
core,product_170,1,6,0,4,317,2,tmf.xtext-inbox
swt,product_117,1,4,0,3,21,2,veronika_irvine
tptp,product_173,1,6,0,7,3,4,alarakhi
git,product_20,1,4,0,12,9,2,webmaster
swt,product_117,1,4,0,7,27,2,cocoakevin
core,product_3,1,4,0,7,311,2,luzius.meisser
client,product_110,1,4,0,5,3,2,john.arthorne
designer,product_113,1,4,0,4,6,2,shuai.li
other,product_55,1,4,0,3,5,2,matthias.wienand
cdt,product_17,1,4,0,4,0,2,vivkong
cdt,product_17,1,4,0,6,2,2,eclipse.sprigogin
report,product_50,1,6,0,2,0,2,error-reports-inbox
core,product_144,1,4,0,6,99,4,tigerstripe.core-inbox
ui,product_144,1,6,0,5,7,2,tigerstripe.core-inbox
stardust,product_173,1,4,0,2,406,2,roland.stamm
project management & portal,product_20,1,4,0,2,120,4,webmaster
p2,product_52,1,4,0,2,34,2,simon_kaegi
cvs,product_20,1,4,0,7,71,5,webmaster
team,product_117,1,4,0,4,0,2,silvio_boehler
navigator,product_33,1,6,0,3,1,2,eneufeld
build,product_115,1,4,0,6,379,2,pde-ui-inbox
ve,product_173,1,6,0,3,1,2,walkerp
server,product_70,1,4,0,4,109,5,gregw
doc,product_69,1,4,0,2,0,2,jdt-doc-inbox
demo,product_121,1,4,0,2,383,2,rap-inbox
sql,product_23,1,4,0,8,2,2,bpayton
cdt,product_17,1,4,0,4,1,2,malaperle
cdt,product_17,1,6,0,10,27,2,pawel.1.piech
client,product_110,1,4,0,2,13,2,malgorzata.tomczyk
query,product_153,1,4,0,4,0,2,tamas.szabo
p2,product_52,1,4,0,5,19,2,dj.houghton
edt,product_173,1,6,0,4,7,2,edt.mofmodel-inbox
swt,product_117,1,4,0,8,3,2,Silenio_Quarti
tool,product_49,1,6,0,7,6,2,skannoor
edt,product_173,1,6,0,3,4,2,edt.javascriptgen-inbox
report,product_10,1,6,0,4,10,2,xhe
setup,product_108,1,4,0,2,6,2,Ed.Merks
foundation,product_31,1,4,0,2,42,2,eclipselink.orm-inbox
p2,product_52,1,4,0,4,21,2,timothym
tptp,product_173,1,6,0,6,1,6,popescu
swt,product_117,1,4,0,3,28,2,grant_gayed
transformation,product_153,1,4,0,4,31,2,lunk.peter
ci,product_20,1,4,0,3,2,2,webmaster
report,product_10,1,4,0,2,3,2,xuelan.li
ecf,product_29,1,4,0,2,1,2,ecf.core-inbox
jgit,product_71,1,4,0,2,34,2,christian.halstrick
jst,product_166,1,4,0,9,226,4,arvera
runtime,product_36,1,4,0,2,0,2,efxclipse-inbox
report,product_10,1,6,0,3,5,4,rlu
documentation,product_31,1,4,0,4,13,2,liza.rekadze
client,product_110,1,4,0,2,80,2,maciej.bendkowski
tptp,product_173,1,6,0,8,16,4,apnan
tptp,product_173,1,6,0,3,1,2,kevin.p.o'leary
core,product_other,1,6,0,2,1,2,wojtowicza
tools,product_128,1,6,0,11,84,2,sascha
bugzilla,product_91,1,4,0,6,13,2,shawn.minto
cdt,product_17,1,4,0,4,9,2,malaperle
chart,product_10,1,6,0,7,1,5,yi.wang
web,product_91,1,4,0,4,36,2,greensopinion
text,product_69,1,4,0,4,3,2,eclipse
other,product_other,1,4,0,2,344,2,simultaneousrelease-inbox
releng,product_117,1,4,0,11,3,2,david_williams
tptp,product_173,1,6,0,11,57,5,yunan.he
releng,product_117,1,4,0,2,653,2,platform-releng-inbox
install,product_89,1,4,0,5,280,2,mpc.install-inbox
website,product_20,1,6,0,3,0,2,phoenix.ui-inbox
core,product_62,1,4,0,5,0,2,borlander
emf forms,product_33,1,6,0,4,25,2,eneufeld
xtext,product_146,1,6,0,5,32,2,tmf.xtext-inbox
p2,product_52,1,4,0,64,27,4,leberre
lts,product_other,1,4,0,4,482,2,thanh.ha
ui,product_69,1,4,0,2,119,2,kai-uwe_maetzel
editor,product_110,1,6,0,3,45,2,xinyij
doc,product_117,1,4,0,4,268,2,dejan
wikitext,product_96,1,4,0,4,130,2,greensopinion
cosmos,product_173,1,4,0,2,0,2,esrose
general,product_other,1,4,0,8,37,2,milesparker
other,product_70,1,4,0,9,10,2,gregw
jpa,product_31,1,4,0,14,77,2,andrei.ilitchev
ui,product_117,1,4,0,11,8,2,Lars.Vogel
diagram,product_113,1,4,0,5,204,2,mdt-papyrus-inbox
other,product_other,1,6,0,5,32,6,mail
report,product_10,1,6,0,3,5,4,pivmark
other,product_other,1,6,0,3,1,2,etrice.userinterface-inbox
cdt,product_17,1,6,0,4,0,2,Randy.Rohrbach
report,product_10,1,6,0,10,6,6,hustlg
diagram,product_113,1,6,0,5,167,2,rschnekenburger
tptp,product_173,1,6,0,11,435,2,paulslau
stp,product_173,1,4,0,3,607,2,oisin.hurley
wizard,product_89,1,6,2,7,784,6,mpc.wizard-inbox
unknown,product_154,1,6,0,1,69,2,glyn.normington
build,product_10,1,6,0,10,1,6,slee
demo,product_121,1,4,0,2,2,2,rap-inbox
report,product_10,1,4,0,25,195,4,jouyang
jpa,product_31,1,4,0,6,10,2,curtisr7
tptp,product_173,1,6,0,7,0,4,ewchan
core,product_113,1,4,0,3,264,5,ansgar.radermacher
data access,product_10,1,4,0,3,33,2,mwu
edt,product_173,1,6,0,10,2,2,edt.javascriptgen-inbox
core,product_145,1,6,0,4,4,2,titan-inbox
core,product_1,1,6,0,3,7,2,acceleo-inbox
dse,product_153,1,4,0,2,0,2,viatra-dse
core,product_103,1,6,0,3,0,2,dirk.fauth
connector,product_139,1,4,0,7,6,2,a.gurov
report,product_10,1,4,0,4,38,2,qsong
swtbot,product_140,1,4,0,8,88,2,swtbot-inbox
agent,product_142,1,4,0,3,2,2,tcf.agent-inbox
website,product_20,1,4,0,14,9,2,phoenix.ui-inbox
report,product_10,1,4,0,4,7,2,wei.zhao
ui,product_117,1,6,0,9,100,2,eduardo_pereira
client,product_110,1,4,0,2,4,2,susan
other,product_173,1,6,0,3,21,2,lmandel
general,product_other,1,6,0,3,48,2,mdmbl-inbox
core,product_113,1,4,0,2,2,2,cedric.dumoulin
core,product_69,1,4,0,7,3,2,andre_weinand
bugzilla,product_20,1,4,0,5,342,4,webmaster
websocket,product_70,1,4,0,4,0,2,joakim.erdfelt
sql,product_23,1,6,0,3,167,2,bshen
chart,product_10,1,6,0,4,1,5,dmichonneau
ui,product_69,1,4,0,2,0,2,erich_gamma
jpa,product_31,1,4,0,3,1877,2,lukas.jungmann
git,product_110,1,6,0,6,36,2,xintong
text,product_69,1,4,0,2,10,1,daniel_megert
hyades,product_173,1,6,0,5,64,2,rduggan
hyades,product_173,1,6,0,5,43,2,curtispd
tptp,product_173,1,6,0,7,2,2,tfoun
other,product_other,1,4,0,2,0,4,stephaneberle9
ui,product_115,1,4,0,7,1,2,janek.lb
cdt,product_17,1,4,0,10,1017,4,john.camelon
connectivity,product_23,1,6,0,3,5,2,dtp.connectivity-inbox
swt,product_117,1,4,0,5,5,2,christophe.cornu+eclipse
ui,product_117,1,4,0,14,328,2,Platform-UI-Inbox
editor,product_110,1,4,0,3,1,2,libingw
core,product_113,1,4,0,8,388,4,rschnekenburger
data,product_10,1,6,0,2,228,2,mwu
wikitext,product_96,1,4,0,8,20,2,eclipse
xtext,product_146,1,6,0,7,28,2,tmf.xtext-inbox
core,product_128,1,6,0,3,11,2,sascha
team,product_117,1,4,0,2,0,5,silvio_boehler
releng,product_other,1,4,0,5,3,4,milesparker
ui,product_115,1,4,0,13,8,2,pde-ui-inbox
ci,product_20,1,4,0,3,1,2,webmaster
wst,product_167,1,6,0,8,22,2,gindik
ui,product_115,1,4,0,6,132,2,ankur_sharma
cdo,product_39,1,6,0,12,8,2,stepper
core,product_other,1,4,0,2,12,2,ogee.core-inbox
rdt,product_118,1,4,0,3,6,2,recoskie
core,product_113,1,4,0,7,117,2,Chokri.Mraidha
wst,product_164,1,6,0,16,10,5,jlanuti
grid,product_104,1,4,0,4,1383,2,caosmpz
ldp,product_79,1,6,0,3,0,2,samuel.padgett
code folding,product_116,1,6,0,3,40,4,eden
jpa,product_31,1,6,0,3,168,2,eclipselink.orm-inbox
ui,product_69,1,4,0,4,235,1,martinae
ui,product_other,1,6,0,3,112,2,bpel.ui-inbox
tptp,product_173,1,6,0,12,175,2,jcayne
ci,product_20,1,4,0,20,2,2,ci.admin-inbox
chart,product_10,1,4,0,2,0,2,XZhao
resources,product_117,1,4,0,3,0,2,john.arthorne
rpm,product_78,1,4,0,10,70,2,akurtakov
tptp,product_173,1,6,0,6,17,5,kevin.p.o'leary
gef,product_55,1,4,0,4,23,2,gef-inbox
package,product_50,1,6,0,2,2,2,mknauer
editor ui,product_other,1,4,0,3,272,2,egerrit-inbox
tool,product_49,1,6,0,5,1,2,jxi
git,product_110,1,4,0,2,0,2,Silenio_Quarti
resources,product_117,1,4,0,8,13,2,eclipse
releng,product_126,1,4,0,3,0,2,elias
planeteclipse,product_173,1,4,0,7,66,2,caniszczyk
diagram,product_113,1,4,0,6,30,2,mickael.adam29
modeling,product_129,1,6,0,10,3,2,konstantin
plug-ins,product_145,1,6,0,3,18,2,titan-inbox
chart,product_10,1,6,0,4,11,2,wangy
corona,product_173,1,6,0,4,3,2,piotr.jaworowski
rwt,product_121,1,4,0,3,11,6,rap-inbox
views,product_113,1,4,0,6,214,2,vincent.lorenzo
git,product_110,1,4,0,12,121,2,tomasz.zarna
editor,product_33,1,6,0,3,1,2,eneufeld
ui,product_115,1,4,0,3,2,2,caniszczyk
rio,product_79,1,6,0,3,1,2,fiedler.mf
core,product_113,1,4,0,2,55,2,yann.tanguy
ui,product_115,1,4,0,4,378,1,contact
jpa,product_31,1,6,0,5,2,2,eclipselink.orm-inbox
ui,product_139,1,4,0,2,0,2,a.gurov
corona,product_173,1,6,0,5,12,2,piotr.jaworowski
report,product_10,1,4,0,8,77,4,Lina.Kemmel
releng,product_117,1,6,0,4,6,2,sravankumarl
chart,product_10,1,6,0,4,8,2,wangy
ci,product_20,1,4,0,2,0,2,webmaster
wst,product_167,1,6,0,6,0,6,nitind
gef,product_55,1,4,0,6,27,4,lgrahek
ci,product_20,1,6,0,3,0,2,ci.admin-inbox
tptp,product_173,1,6,0,3,3,6,sleeloy
releng,product_165,1,6,0,3,86,4,david_williams
core,product_106,1,6,0,30,224,2,mdt-ocl-inbox
client,product_70,1,4,0,3,81,2,mgorovoy
scout,product_131,1,6,0,4,997,2,scout.core-inbox
diagram,product_113,1,6,0,6,78,2,mickael.adam29
bundles,product_109,1,6,0,2,16,2,orbit.bundles-inbox
core,product_148,1,4,0,21,54,2,jan.sievers
terminal,product_141,1,4,0,6,0,4,mober.at+eclipse
snippets framework,product_161,1,4,0,2,0,2,nsand.dev
incubator,product_52,1,4,0,4,20,2,tjwatson
proposals and reviews,product_20,1,4,0,8,21,2,emo
client,product_110,1,4,0,2,0,4,mamacdon
xtext,product_146,1,6,0,4,3,2,tmf.xtext-inbox
gef,product_55,1,4,0,3,1828,2,nyssen
ui,product_117,1,4,0,3,0,2,loskutov
query,product_153,1,4,0,2,3,2,abel.hegedus
core,product_62,1,4,0,4,257,2,shatalin
swt,product_117,1,4,0,17,56,2,eclipse.felipe
samples,product_62,1,4,0,2,24,2,sgribovsky
ui,product_115,1,4,0,24,51,2,pde-ui-inbox
tptp,product_173,1,6,0,8,34,2,paulslau
cdo,product_39,1,6,0,30,7,2,stepper
data,product_10,1,6,0,4,5,2,lzhu
build,product_115,1,4,0,4,1,2,pde-ui-inbox
samples,product_62,1,4,0,3,18,2,borlander
ui,product_117,1,4,0,2,34,2,billy.biggs
swt,product_117,1,4,0,29,70,2,christophe.cornu+eclipse
build,product_10,1,4,0,2,198,2,cdeadmin
rdt,product_118,1,4,0,2,0,2,recoskie
general,product_other,1,6,0,2,195,2,mdmbl-inbox
build,product_115,1,6,0,7,3651,2,pde-ui-inbox
cdt,product_17,1,4,0,3,1290,2,cdt-core-inbox
hyades,product_173,1,6,0,4,0,2,dguilbaud
core,product_69,1,4,0,8,1,2,jerome_lanneluc
core,product_62,1,4,0,4,14,2,dimzzy
zest,product_91,1,4,0,5,0,2,irbull
p2,product_52,1,4,0,2,2,2,susan
text,product_117,1,4,0,6,37,2,mistria
core,product_69,1,4,0,7,0,2,Olivier_Thomann
core,product_145,1,6,0,3,3,2,titan-inbox
higgins,product_173,1,4,0,4,126,4,mkopeyka
core,product_113,1,4,0,3,158,2,Patrick.Tessier
ui,product_69,1,4,0,4,0,5,dirk_baeumer
core,product_other,1,4,0,2,1,2,kura.core-inbox
core,product_128,1,6,0,8,53,2,amitm
website,product_20,1,4,0,3,6,2,phoenix.ui-inbox
wst,product_166,1,6,0,5,2,2,deboer
core,product_69,1,4,0,9,11,2,jesper
sdo,product_31,1,4,0,3,0,2,david.mccann
stardust,product_173,1,4,0,4,258,5,stardust.portal-inbox
bugzilla,product_20,1,4,0,4,1,2,webmaster
core,product_139,1,4,0,2,1,2,igor.burilo
aperi,product_173,1,4,0,2,142,2,laverone
php explorer & projects management,product_116,1,6,0,4,996,2,php.ui-inbox
imp,product_173,1,4,0,3,2,2,rfuhrer
apt,product_69,1,4,0,17,19,2,martinae
ui,product_117,1,4,0,2,7,2,nick_edgar
cdo,product_39,1,6,0,4,0,2,stepper
ui,product_117,1,6,0,6,2436,2,platform-ui-triaged
swt,product_117,1,4,0,6,0,6,billy.biggs
debug,product_117,1,4,0,2,0,2,platform-debug-inbox
wst,product_167,1,6,0,5,2,4,kchong
js tools,product_110,1,4,0,6,3,2,Olivier_Thomann
moxy,product_31,1,4,0,3,0,2,denise.mahar
cdt,product_17,1,4,0,3,1,2,aleherb+eclipse
cdt,product_17,1,4,0,3,405,2,william.riley
user,product_117,1,4,0,5,101,2,curtispd
text,product_69,1,4,0,3,0,2,jdt-text-inbox
website,product_20,1,4,0,8,4,2,webmaster
enablement:oda,product_23,1,4,0,2,1,2,xwu
ui,product_117,1,4,0,3,3,2,Lars.Vogel
jira,product_91,1,4,0,3,1,2,mik.kersten
swt,product_117,1,4,0,3,17,2,veronika_irvine
architecture council,product_20,1,4,0,16,1024,2,emo
diagram editor,product_21,1,4,0,4,8,4,petya.sabeva
search,product_117,1,4,0,3,1,2,daniel_megert
core,product_other,1,4,0,3,429,2,bob.nettleton
cdt,product_17,1,4,2,4,26,2,cdt-core-inbox
compiler,product_7,1,4,0,7,46,6,aspectj-inbox
query,product_153,1,4,0,9,226,2,harmath
releng,product_117,1,4,0,8,21,2,platform-releng-inbox
ui,product_91,1,4,0,13,144,4,hiroyuki.inaba
cvs,product_20,1,4,0,3,1,2,webmaster
documentation,product_157,1,6,0,5,9,2,syeshin
data,product_10,1,4,0,5,7,2,lzhu
p2,product_52,1,4,0,2,0,2,pascal
validation,product_other,1,6,0,2,2567,2,ahunter.eclipse
we,product_other,1,4,0,3,9,2,chr.seitz
target,product_142,1,4,0,5,1,2,aleherb+eclipse
setup,product_108,1,4,0,5,18,2,Ed.Merks
edt,product_173,1,6,0,4,1,5,edt.javascriptgen-inbox
client,product_110,1,4,0,18,54,2,susan
cdt,product_17,1,4,0,2,0,2,cdt-build-managed-inbox
